raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
0,66,64,62,59,56,54,51,48,45
1,67,65,63,60,57,54,51,49,45
2,68,66,64,61,58,55,52,49,46
3,69,67,64,62,59,56,53,50,47
4,70,67,65,62,59,56,53,51,47
5,70,68,66,63,60,57,54,51,48
6,71,69,67,64,61,58,55,52,48
7,72,70,68,65,61,58,55,52,49
8,73,71,68,66,62,59,56,53,49
9,74,72,69,66,63,60,56,53,50
10,75,72,70,67,64,60,57,54,50
11,76,73,71,68,64,61,58,55,51
12,77,74,72,69,65,62,58,55,51
13,78,75,72,69,66,62,59,56,52
14,78,76,73,70,66,63,60,56,52
15,79,77,74,71,67,64,60,57,53
16,80,77,75,72,68,64,61,57,53
17,81,78,76,72,69,65,61,58,54
18,82,79,76,73,69,66,62,59,54
19,83,80,77,74,70,66,63,59,55
20,84,81,78,75,71,67,63,60,56
21,85,82,79,75,71,67,64,60,56
22,85,83,80,76,72,68,64,61,57
23,86,83,80,77,73,69,65,62,57
24,87,84,81,78,73,69,66,62,58
25,88,85,82,78,74,70,66,63,58
26,89,86,83,79,75,71,67,63,59
27,90,87,84,80,76,71,68,64,59
28,91,87,84,81,76,72,68,64,60
29,91,88,85,81,77,73,69,65,60
30,92,89,86,82,78,73,69,66,61
31,93,90,87,83,78,74,70,66,61
32,94,91,88,84,79,75,71,67,62
33,95,92,88,84,80,75,71,67,62
34,96,92,89,85,81,76,72,68,63
35,97,93,90,86,81,77,72,68,63
36,98,94,91,87,82,77,73,69,64
37,98,95,92,87,83,78,74,70,65
38,99,96,92,88,83,79,74,70,65
39,100,97,93,89,84,79,75,71,66
40,101,97,94,90,85,80,76,71,66
41,102,98,95,90,85,81,76,72,67
42,103,99,96,91,86,81,77,73,67
43,104,100,96,92,87,82,77,73,68
44,104,101,97,93,88,83,78,74,68
45,105,102,98,94,88,83,79,74,69
46,106,102,99,94,89,84,79,75,69
47,107,103,100,95,90,85,80,76,70
48,108,104,100,96,91,85,81,76,71
49,109,105,101,97,91,86,81,77,71
50,110,106,102,97,92,87,82,77,72
51,111,107,103,98,93,88,83,78,72
52,111,107,104,99,93,88,83,79,73
53,112,108,104,100,94,89,84,79,73
54,113,109,105,100,95,90,85,80,74
55,114,110,106,101,96,90,85,80,74
56,115,111,107,102,96,91,86,81,75
57,116,112,108,103,97,92,86,82,76
58,117,113,108,104,98,92,87,82,76
59,118,113,109,104,99,93,88,83,77
60,118,114,110,105,99,94,88,83,77
61,119,115,111,106,100,94,89,84,78
62,120,116,112,107,101,95,90,85,78
63,121,117,113,107,102,96,90,85,79
64,122,118,113,108,102,97,91,86,80
65,123,119,114,109,103,97,92,87,80
66,124,119,115,110,104,98,93,87,81
67,125,120,116,111,105,99,93,88,81
68,126,121,117,111,105,99,94,89,82
69,126,122,118,112,106,100,95,89,83
70,127,123,118,113,107,101,95,90,83
71,128,124,119,114,108,102,96,91,84
72,129,125,120,115,108,102,97,91,84
73,130,125,121,116,109,103,97,92,85
74,130,126,122,116,110,104,98,93,86
75,130,127,123,117,111,105,99,93,86
76,130,128,124,118,112,105,100,94,87
77,130,129,124,119,112,106,100,95,88
78,130,130,125,120,113,107,101,96,88
79,130,130,126,121,114,108,102,97,89
80,130,130,127,121,115,109,103,98,90
81,130,130,128,122,116,109,103,99,90
82,130,130,129,123,117,110,104,100,91
83,130,130,130,124,117,111,105,100,92
84,130,130,130,125,118,112,106,101,92
85,130,130,130,126,119,113,107,101,93
86,130,130,130,127,120,113,107,102,94
87,130,130,130,127,121,114,108,102,95
88,130,130,130,128,122,115,109,103,95
89,130,130,130,129,123,116,110,104,96
90,130,130,130,130,123,117,111,105,97
91,130,130,130,130,124,118,111,105,98
92,130,130,130,130,125,119,112,106,99
93,130,130,130,130,126,120,113,107,99
94,130,130,130,130,127,120,114,108,100
95,130,130,130,130,128,121,115,109,101
96,130,130,130,130,129,122,116,110,102
97,130,130,130,130,130,123,117,111,103
98,130,130,130,130,130,124,118,112,104
99,130,130,130,130,130,125,119,113,105
100,130,130,130,130,130,126,120,114,106
101,130,130,130,130,130,127,121,115,107
102,130,130,130,130,130,128,122,116,108
103,130,130,130,130,130,129,123,117,109
104,130,130,130,130,130,130,124,118,110
105,130,130,130,130,130,130,125,119,111
106,130,130,130,130,130,130,127,121,113
107,130,130,130,130,130,130,128,122,114
108,130,130,130,130,130,130,129,123,116
109,130,130,130,130,130,130,130,125,118
110,130,130,130,130,130,130,130,127,120
111,130,130,130,130,130,130,130,128,123
112,130,130,130,130,130,130,130,130,128
113,130,130,130,130,130,130,130,130,128
114,130,130,130,130,130,130,130,130,128
115,130,130,130,130,130,130,130,130,128
116,130,130,130,130,130,130,130,130,128
117,130,130,130,130,130,130,130,130,128
118,130,130,130,130,130,130,130,130,128
119,130,130,130,130,130,130,130,130,128
120,130,130,130,130,130,130,130,130,128
