raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,83,74,66,57,50,43
1,85,77,68,60,53,46
2,87,79,71,63,56,49
3,90,81,73,65,58,52
4,92,83,75,68,61,54
5,94,85,78,70,63,57
6,95,87,80,72,66,59
7,97,89,82,75,68,61
8,99,91,84,77,70,63
9,101,93,86,79,72,66
10,103,95,88,81,74,68
11,105,97,90,83,76,70
12,106,98,91,85,78,72
13,108,100,93,87,80,74
14,110,102,95,89,82,76
15,112,104,97,90,84,78
16,114,105,99,92,86,80
17,116,107,100,94,88,82
18,117,109,102,96,90,84
19,119,111,104,98,92,86
20,121,112,106,100,94,88
21,123,114,107,102,96,91
22,126,116,109,103,98,93
23,128,118,111,105,100,95
24,130,120,113,107,102,97
25,130,122,115,109,105,100
26,130,124,117,112,107,103
27,130,126,119,114,110,106
28,130,129,121,116,112,109
29,130,130,124,119,116,114
30,130,130,126,122,121,117
