raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,61,59,53,51,48,43
1,64,61,55,54,50,44
2,67,63,57,56,52,45
3,70,65,60,58,53,46
4,73,67,63,60,54,47
5,76,70,65,61,55,48
6,79,72,67,63,56,49
7,82,74,69,64,57,50
8,85,77,71,65,58,51
9,88,80,73,66,59,52
10,91,83,75,67,60,53
11,94,85,75,68,61,54
12,97,87,77,70,63,55
13,100,90,79,72,64,56
14,103,92,81,73,65,57
15,105,94,83,75,67,58
16,108,97,85,77,68,59
17,110,99,87,78,70,60
18,113,101,89,79,71,61
19,115,103,91,81,72,62
20,117,105,93,83,74,63
21,119,107,95,85,75,64
22,122,109,97,86,76,65
23,124,111,98,88,78,67
24,126,113,100,90,80,69
25,128,114,102,92,82,73
26,130,116,104,94,84,75
27,130,118,106,96,86,78
28,130,120,107,98,88,81
29,130,121,109,100,90,84
30,130,123,111,102,93,87
31,130,125,113,104,95,89
32,130,127,114,106,98,92
33,130,128,116,108,101,95
34,130,130,118,110,104,98
35,130,130,119,113,108,101
36,130,130,121,115,113,104
37,130,130,123,118,117,109
38,130,130,124,120,119,112
