raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,70,62,52,42,40,40
1,73,65,56,46,40,40
2,76,68,60,50,40,40
3,78,71,63,54,44,40
4,81,74,66,58,48,40
5,84,77,69,61,52,41
6,87,79,72,64,55,45
7,89,82,75,67,59,49
8,92,85,78,70,62,53
9,95,88,81,73,65,57
10,97,90,83,76,69,60
11,100,93,86,79,72,64
12,103,96,89,82,75,67
13,105,98,91,84,77,70
14,108,101,94,87,80,73
15,111,104,97,90,83,76
16,114,106,99,93,86,79
17,117,109,102,95,88,82
18,120,112,105,98,91,84
19,123,115,108,101,94,87
20,127,118,110,103,97,90
21,130,121,113,106,99,93
22,130,124,116,109,102,96
23,130,128,119,112,105,98
24,130,130,122,115,108,101
25,130,130,126,118,110,104
26,130,130,130,121,113,107
27,130,130,130,124,117,110
28,130,130,130,128,120,113
29,130,130,130,130,123,117
30,130,130,130,130,127,120
31,130,130,130,130,130,124
32,130,130,130,130,130,129
