raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,79,73,67,60,54,48
1,81,75,68,62,55,49
2,82,77,70,63,57,51
3,84,78,71,65,58,52
4,86,80,73,66,60,54
5,88,82,75,68,62,55
6,90,83,77,70,63,57
7,92,85,78,72,65,58
8,94,87,80,73,67,60
9,96,89,82,75,69,62
10,98,91,84,77,70,64
11,100,93,86,79,72,66
12,102,95,88,81,74,68
13,104,97,90,83,77,70
14,106,99,92,86,79,72
15,108,101,94,88,81,74
16,110,103,97,90,84,77
17,113,106,99,93,87,80
18,116,109,102,96,90,83
19,119,112,105,99,93,87
20,122,115,108,102,97,91
21,126,119,112,106,102,97
22,130,124,117,111,108,102
23,130,130,123,116,113,107
24,130,130,130,121,118,112
25,130,130,130,126,123,117
